hora,v1,v2,v3,v4
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
